avg_t,p99_t,n_requests,n_responses,success_percentage,request_qps,response_qps,max_time,n_server_fails,k_client_amplification,n_retries,retry_rate_threshold,request_drop_rate
6.830000000000002,14.110000000000014,117,100,100.0,1,10,100,0,1,-2,0.5,0.2
10.084924623115576,21.10000000000001,251,199,99.5,2,10,100,0,1,-2,0.5,0.2
12.756666666666666,24.11,394,300,100.0,3,10,100,0,1,-2,0.5,0.2
10.360651629072681,20.10000000000001,503,399,99.75,4,10,100,0,1,-2,0.5,0.2
9.48955823293173,19.10000000000001,622,498,99.6,5,10,100,0,1,-2,0.5,0.2
10.903005008347245,22.10000000000001,769,599,99.83333333333333,6,10,100,0,1,-2,0.5,0.2
10.630434782608695,49.1,1393,460,65.71428571428571,7,10,100,0,1,-2,0.5,0.2
33.435632183908055,72.1,1592,435,54.37499999999999,8,10,100,0,1,-2,0.5,0.2
35.98604651162792,75.1,1791,430,47.77777777777778,9,10,100,0,1,-2,0.5,0.2
38.650351288056214,79.1,1990,427,42.699999999999996,10,10,100,0,1,-2,0.5,0.2
17.857575757575756,36.12,165,99,99.0,1,10,100,0,1,-2,0.5,0.4
19.53939393939394,36.1,317,198,99.0,2,10,100,0,1,-2,0.5,0.4
21.818120805369126,41.1,498,298,99.33333333333333,3,10,100,0,1,-2,0.5,0.4
20.976262626262628,43.1,702,396,99.0,4,10,100,0,1,-2,0.5,0.4
20.61813471502591,55.24999999999998,995,386,77.2,5,10,100,0,1,-2,0.5,0.4
32.79337016574586,69.1,1194,362,60.333333333333336,6,10,100,0,1,-2,0.5,0.4
33.19907120743035,76.87999999999997,1393,323,46.14285714285714,7,10,100,0,1,-2,0.5,0.4
38.86487252124647,77.1,1592,353,44.125,8,10,100,0,1,-2,0.5,0.4
37.627950310559015,79.89000000000001,1791,322,35.77777777777777,9,10,100,0,1,-2,0.5,0.4
37.70059171597634,83.1,1990,338,33.800000000000004,10,10,100,0,1,-2,0.5,0.4
30.534210526315782,58.85,199,76,76.0,1,10,100,0,1,-2,0.5,0.6
33.898701298701305,60.1,398,154,77.0,2,10,100,0,1,-2,0.5,0.6
32.65656108597286,62.1,597,221,73.66666666666667,3,10,100,0,1,-2,0.5,0.6
31.562025316455703,59.1,796,316,79.0,4,10,100,0,1,-2,0.5,0.6
31.49425587467364,61.1,995,383,76.6,5,10,100,0,1,-2,0.5,0.6
34.614925373134334,77.42999999999998,1194,268,44.666666666666664,6,10,100,0,1,-2,0.5,0.6
36.475527426160355,80.73999999999998,1393,237,33.85714285714286,7,10,100,0,1,-2,0.5,0.6
39.712500000000006,81.10000000000001,1592,240,30.0,8,10,100,0,1,-2,0.5,0.6
43.79955156950674,87.10000000000001,1791,223,24.77777777777778,9,10,100,0,1,-2,0.5,0.6
40.22658227848103,88.10000000000001,1990,237,23.7,10,10,100,0,1,-2,0.5,0.6
40.725,77.32,199,40,40.0,1,10,100,0,1,-2,0.5,0.8
41.112987012987006,78.57999999999998,398,77,38.5,2,10,100,0,1,-2,0.5,0.8
42.60000000000001,80.12,597,100,33.33333333333333,3,10,100,0,1,-2,0.5,0.8
39.848502994011994,77.1,796,167,41.75,4,10,100,0,1,-2,0.5,0.8
42.511764705882364,80.1,995,187,37.4,5,10,100,0,1,-2,0.5,0.8
38.09264705882353,87.75000000000001,1194,136,22.666666666666664,6,10,100,0,1,-2,0.5,0.8
39.255038759689924,88.10000000000001,1393,129,18.428571428571427,7,10,100,0,1,-2,0.5,0.8
41.21194029850747,91.10000000000001,1592,134,16.75,8,10,100,0,1,-2,0.5,0.8
41.28400000000001,91.62000000000002,1791,125,13.88888888888889,9,10,100,0,1,-2,0.5,0.8
43.13076923076924,94.10000000000001,1990,130,13.0,10,10,100,0,1,-2,0.5,0.8
