avg_t,p99_t,n_requests,n_responses,success_percentage,request_qps,response_qps,max_time,n_server_fails,k_client_amplification,n_retries,retry_rate_threshold,request_drop_rate
11.049494949494948,21.10000000000001,129,99,99.0,1,10,100,0,1,4,0.0,0.2
11.935000000000002,25.10000000000001,263,200,100.0,2,10,100,0,1,4,0.0,0.2
9.568227424749164,18.10000000000001,377,299,99.66666666666667,3,10,100,0,1,4,0.0,0.2
11.054887218045112,21.10000000000001,504,399,99.75,4,10,100,0,1,4,0.0,0.2
9.922,20.10000000000001,618,500,100.0,5,10,100,0,1,4,0.0,0.2
10.0449081803005,20.10000000000001,745,599,99.83333333333333,6,10,100,0,1,4,0.0,0.2
28.47269372693728,82.1,3127,271,38.714285714285715,7,10,100,0,1,4,0.0,0.2
32.97795275590553,86.10000000000001,3713,254,31.75,8,10,100,0,1,4,0.0,0.2
31.933962264150942,87.10000000000001,4162,265,29.444444444444446,9,10,100,0,1,4,0.0,0.2
34.40158730158731,87.57000000000004,4717,252,25.2,10,10,100,0,1,4,0.0,0.2
15.332323232323228,33.10000000000001,151,99,99.0,1,10,100,0,1,4,0.0,0.4
20.685858585858586,39.1,333,198,99.0,2,10,100,0,1,4,0.0,0.4
21.42764505119454,41.179999999999986,478,293,97.66666666666667,3,10,100,0,1,4,0.0,0.4
18.448484848484846,37.15000000000001,641,396,99.0,4,10,100,0,1,4,0.0,0.4
18.96764705882353,60.1,1715,340,68.0,5,10,100,0,1,4,0.0,0.4
29.650387596899233,81.1,2672,258,43.0,6,10,100,0,1,4,0.0,0.4
35.51630901287554,85.78000000000002,3289,233,33.285714285714285,7,10,100,0,1,4,0.0,0.4
39.56724890829696,90.10000000000001,3834,229,28.625,8,10,100,0,1,4,0.0,0.4
39.35791855203622,90.90000000000002,4328,221,24.555555555555557,9,10,100,0,1,4,0.0,0.4
39.08283261802576,91.10000000000001,4793,233,23.3,10,10,100,0,1,4,0.0,0.4
26.3659574468085,51.169999999999995,217,94,94.0,1,10,100,0,1,4,0.0,0.6
28.158510638297876,55.1,425,188,94.0,2,10,100,0,1,4,0.0,0.6
30.659259259259258,60.1,710,270,90.0,3,10,100,0,1,4,0.0,0.6
36.67345971563982,81.1,1842,211,52.75,4,10,100,0,1,4,0.0,0.6
39.30000000000001,87.10000000000001,2386,200,40.0,5,10,100,0,1,4,0.0,0.6
39.72745098039217,89.10000000000001,2861,204,34.0,6,10,100,0,1,4,0.0,0.6
40.034010152284274,91.10000000000001,3353,197,28.142857142857142,7,10,100,0,1,4,0.0,0.6
41.228078817734,92.03999999999998,3853,203,25.374999999999996,8,10,100,0,1,4,0.0,0.6
41.78911917098446,92.17999999999999,4340,193,21.444444444444443,9,10,100,0,1,4,0.0,0.6
43.1294117647059,92.10000000000001,4845,204,20.4,10,10,100,0,1,4,0.0,0.6
38.37941176470587,73.1,314,68,68.0,1,10,100,0,1,4,0.0,0.8
39.1,76.78999999999999,648,132,66.0,2,10,100,0,1,4,0.0,0.8
41.78345323741008,85.10000000000001,1383,139,46.33333333333333,3,10,100,0,1,4,0.0,0.8
43.55517241379311,86.66000000000001,1917,145,36.25,4,10,100,0,1,4,0.0,0.8
42.34305555555556,92.10000000000001,2419,144,28.799999999999997,5,10,100,0,1,4,0.0,0.8
45.48167938931299,92.8,2905,131,21.833333333333332,6,10,100,0,1,4,0.0,0.8
46.65000000000001,92.71,3410,140,20.0,7,10,100,0,1,4,0.0,0.8
45.198765432098774,93.49,3881,162,20.25,8,10,100,0,1,4,0.0,0.8
42.05890410958905,94.10000000000001,4372,146,16.22222222222222,9,10,100,0,1,4,0.0,0.8
43.900000000000006,94.10000000000001,4865,145,14.499999999999998,10,10,100,0,1,4,0.0,0.8
