avg_t,p99_t,n_requests,n_responses,success_percentage,request_qps,response_qps,max_time,n_server_fails,k_client_amplification,n_retries,retry_rate_threshold,request_drop_rate
12.959999999999997,25.110000000000014,139,100,100.0,1,10,100,0,1,-1,1.0,0.2
11.480000000000002,23.10000000000001,252,200,100.0,2,10,100,0,1,-1,1.0,0.2
9.079933110367893,18.10000000000001,368,299,99.66666666666667,3,10,100,0,1,-1,1.0,0.2
9.090000000000002,18.10000000000001,490,400,100.0,4,10,100,0,1,-1,1.0,0.2
7.805410821643288,17.10000000000001,603,499,99.8,5,10,100,0,1,-1,1.0,0.2
10.41438127090301,20.10000000000001,752,598,99.66666666666667,6,10,100,0,1,-1,1.0,0.2
9.450500715307584,18.10000000000001,858,699,99.85714285714286,7,10,100,0,1,-1,1.0,0.2
15.962453531598511,79.1,21436,269,33.625,8,10,100,0,1,-1,1.0,0.2
25.32222222222224,88.10000000000001,31612,207,23.0,9,10,100,0,1,-1,1.0,0.2
28.062365591397857,89.25000000000001,38193,186,18.6,10,10,100,0,1,-1,1.0,0.2
24.009999999999994,42.11000000000001,180,100,100.0,1,10,100,0,1,-1,1.0,0.4
18.371356783919595,34.12000000000002,306,199,99.5,2,10,100,0,1,-1,1.0,0.4
20.484615384615385,40.1,501,299,99.66666666666667,3,10,100,0,1,-1,1.0,0.4
20.616290726817045,41.1,669,399,99.75,4,10,100,0,1,-1,1.0,0.4
14.918867924528302,60.90000000000007,7463,265,53.0,5,10,100,0,1,-1,1.0,0.4
22.78715083798883,82.2,18099,179,29.833333333333336,6,10,100,0,1,-1,1.0,0.4
25.111834319526626,84.10000000000001,23899,169,24.142857142857142,7,10,100,0,1,-1,1.0,0.4
27.68579881656805,89.10000000000001,29240,169,21.125,8,10,100,0,1,-1,1.0,0.4
29.22820512820513,88.69999999999992,35175,156,17.333333333333336,9,10,100,0,1,-1,1.0,0.4
33.94242424242425,94.10000000000001,40339,165,16.5,10,10,100,0,1,-1,1.0,0.4
30.9659793814433,63.13999999999999,296,97,97.0,1,10,100,0,1,-1,1.0,0.6
29.788442211055294,56.1,510,199,99.5,2,10,100,0,1,-1,1.0,0.6
28.908873720136516,56.1,725,293,97.66666666666667,3,10,100,0,1,-1,1.0,0.6
29.016666666666666,87.10000000000001,12463,120,30.0,4,10,100,0,1,-1,1.0,0.6
29.8890625,86.83000000000001,17079,128,25.6,5,10,100,0,1,-1,1.0,0.6
30.577941176470592,87.10000000000001,21619,136,22.666666666666664,6,10,100,0,1,-1,1.0,0.6
34.55801526717558,92.10000000000001,27386,131,18.714285714285715,7,10,100,0,1,-1,1.0,0.6
36.81014492753624,90.36,32275,138,17.25,8,10,100,0,1,-1,1.0,0.6
32.00647482014388,88.10000000000001,36580,139,15.444444444444445,9,10,100,0,1,-1,1.0,0.6
33.86760563380282,92.69000000000001,41673,142,14.2,10,10,100,0,1,-1,1.0,0.6
40.20416666666667,76.14999999999999,557,96,96.0,1,10,100,0,1,-1,1.0,0.8
31.05081967213115,80.10000000000001,2923,122,61.0,2,10,100,0,1,-1,1.0,0.8
36.1,85.23,10002,88,29.333333333333332,3,10,100,0,1,-1,1.0,0.8
35.68241758241758,89.2,14826,91,22.75,4,10,100,0,1,-1,1.0,0.8
37.39411764705882,93.05999999999999,19347,102,20.4,5,10,100,0,1,-1,1.0,0.8
35.632710280373836,91.98,23880,107,17.833333333333336,6,10,100,0,1,-1,1.0,0.8
38.56296296296296,92.10000000000001,29142,108,15.428571428571427,7,10,100,0,1,-1,1.0,0.8
40.85000000000001,94.07000000000001,34628,104,13.0,8,10,100,0,1,-1,1.0,0.8
38.65140186915889,95.10000000000001,39258,107,11.88888888888889,9,10,100,0,1,-1,1.0,0.8
38.09074074074074,96.03,44164,108,10.8,10,10,100,0,1,-1,1.0,0.8
