avg_t,p99_t,n_requests,n_responses,success_percentage,request_qps,response_qps,max_time,n_server_fails,k_client_amplification
0.10000000000000318,0.10000000000000853,100,100,100.0,1,10,100,0,1
0.10000000000000318,0.10000000000000853,200,200,100.0,2,10,100,0,1
0.10000000000000317,0.10000000000000853,300,300,100.0,3,10,100,0,1
0.10000000000000318,0.10000000000000853,400,400,100.0,4,10,100,0,1
0.10000000000000318,0.10000000000000853,500,500,100.0,5,10,100,0,1
0.10000000000000317,0.10000000000000853,600,600,100.0,6,10,100,0,1
0.10000000000000317,0.10000000000000853,700,700,100.0,7,10,100,0,1
0.10000000000000318,0.10000000000000853,800,800,100.0,8,10,100,0,1
0.10000000000000317,0.10000000000000853,900,900,100.0,9,10,100,0,1
0.10000000000000318,0.10000000000000853,1000,1000,100.0,10,10,100,0,1
1.0900000000000032,1.1000000000000085,101,100,100.0,1,10,100,1,1
1.0900000000000032,1.1000000000000085,202,200,100.0,2,10,100,1,1
1.090000000000003,1.1000000000000085,303,300,100.0,3,10,100,1,1
1.575000000000003,2.1000000000000085,406,400,100.0,4,10,100,1,1
25.6,50.1,995,500,100.0,5,10,100,1,1
28.89012345679012,90.10000000000001,19874,162,27.0,6,10,100,1,1
29.28831168831169,86.10000000000001,25309,154,22.0,7,10,100,1,1
32.0625,91.10000000000001,30330,160,20.0,8,10,100,1,1
32.31604938271605,90.10000000000001,35226,162,18.0,9,10,100,1,1
34.2764705882353,94.10000000000001,40060,170,17.0,10,10,100,1,1
3.0200000000000036,3.1000000000000085,103,100,100.0,1,10,100,2,1
3.9600000000000026,4.1000000000000085,208,200,100.0,2,10,100,2,1
4.8800000000000034,5.1000000000000085,315,300,100.0,3,10,100,2,1
29.100000000000005,87.10000000000001,11062,144,36.0,4,10,100,2,1
32.32222222222222,91.10000000000001,16875,135,27.0,5,10,100,2,1
33.288405797101454,91.73,21782,138,23.0,6,10,100,2,1
32.56428571428572,88.10000000000001,26544,140,20.0,7,10,100,2,1
32.836111111111116,86.67,31338,144,18.0,8,10,100,2,1
34.94313725490196,92.10000000000001,36115,153,17.0,9,10,100,2,1
36.03750000000001,94.10000000000001,40890,160,16.0,10,10,100,2,1
5.810000000000003,6.1000000000000085,106,100,100.0,1,10,100,3,1
8.470000000000002,9.100000000000009,218,200,100.0,2,10,100,3,1
22.56,29.10000000000001,386,300,100.0,3,10,100,3,1
32.6,89.10000000000001,12788,120,30.0,4,10,100,3,1
34.300000000000004,91.10000000000001,17655,125,25.0,5,10,100,3,1
33.41746031746032,87.10000000000001,22468,126,21.0,6,10,100,3,1
34.34812030075188,88.10000000000001,27171,133,19.0,7,10,100,3,1
33.7764705882353,86.10000000000001,31924,136,17.0,8,10,100,3,1
35.15555555555556,89.10000000000001,36656,144,16.0,9,10,100,3,1
35.70000000000001,89.10000000000001,41400,150,15.0,10,10,100,3,1
10.200000000000003,11.100000000000009,111,100,100.0,1,10,100,4,1
17.240000000000002,20.10000000000001,240,200,100.0,2,10,100,4,1
32.41531531531531,87.10000000000001,8339,111,37.0,3,10,100,4,1
34.68928571428572,90.10000000000001,13454,112,28.000000000000004,4,10,100,4,1
34.36086956521739,87.10000000000001,18220,115,23.0,5,10,100,4,1
37.19523809523811,94.10000000000001,22920,126,21.0,6,10,100,4,1
36.03023255813954,95.10000000000001,27611,129,18.428571428571427,7,10,100,4,1
36.879411764705885,91.75000000000001,32338,136,17.0,8,10,100,4,1
38.148611111111116,94.10000000000001,37078,144,16.0,9,10,100,4,1
38.633333333333354,95.10000000000001,41830,150,15.0,10,10,100,4,1
16.579999999999995,19.10000000000001,119,100,100.0,1,10,100,5,1
35.86000000000001,58.1,316,200,100.0,2,10,100,5,1
35.24705882352941,90.10000000000001,9114,102,34.0,3,10,100,5,1
37.099999999999994,94.03,13926,108,27.0,4,10,100,5,1
35.37272727272727,87.10000000000001,18620,110,22.0,5,10,100,5,1
37.28333333333333,92.10000000000001,23272,120,20.0,6,10,100,5,1
37.36190476190478,91.10000000000001,27956,126,18.0,7,10,100,5,1
36.084375,86.10000000000001,32694,128,16.0,8,10,100,5,1
36.98148148148148,89.10000000000001,37424,135,15.0,9,10,100,5,1
37.02857142857143,88.10000000000001,42170,140,14.000000000000002,10,10,100,5,1
