avg_t,p99_t,n_requests,n_responses,success_percentage,request_qps,response_qps,max_time,n_server_fails,k_client_amplification,n_retries,retry_rate_threshold
0.10000000000000318,0.10000000000000853,100,100,100.0,1,10,100,0,1,-2,0.5
0.10000000000000318,0.10000000000000853,200,200,100.0,2,10,100,0,1,-2,0.5
0.10000000000000317,0.10000000000000853,300,300,100.0,3,10,100,0,1,-2,0.5
0.10000000000000318,0.10000000000000853,400,400,100.0,4,10,100,0,1,-2,0.5
0.10000000000000318,0.10000000000000853,500,500,100.0,5,10,100,0,1,-2,0.5
0.10000000000000317,0.10000000000000853,600,600,100.0,6,10,100,0,1,-2,0.5
0.10000000000000317,0.10000000000000853,700,700,100.0,7,10,100,0,1,-2,0.5
0.10000000000000318,0.10000000000000853,800,800,100.0,8,10,100,0,1,-2,0.5
0.10000000000000317,0.10000000000000853,900,900,100.0,9,10,100,0,1,-2,0.5
0.10000000000000318,0.10000000000000853,1000,1000,100.0,10,10,100,0,1,-2,0.5
1.0900000000000032,1.1000000000000085,101,100,100.0,1,10,100,1,1,-2,0.5
1.0900000000000032,1.1000000000000085,202,200,100.0,2,10,100,1,1,-2,0.5
1.090000000000003,1.1000000000000085,303,300,100.0,3,10,100,1,1,-2,0.5
1.575000000000003,2.1000000000000085,406,400,100.0,4,10,100,1,1,-2,0.5
25.6,50.1,995,500,100.0,5,10,100,1,1,-2,0.5
29.58207171314741,58.1,1194,502,83.66666666666667,6,10,100,1,1,-2,0.5
32.59304174950299,64.1,1393,503,71.85714285714285,7,10,100,1,1,-2,0.5
34.853968253968254,69.1,1592,504,63.0,8,10,100,1,1,-2,0.5
36.55634920634921,72.1,1791,504,56.00000000000001,9,10,100,1,1,-2,0.5
37.600000000000016,74.1,1990,500,50.0,10,10,100,1,1,-2,0.5
2.0700000000000034,2.1000000000000085,102,100,100.0,1,10,100,2,1,-2,0.5
2.070000000000003,2.1000000000000085,204,200,100.0,2,10,100,2,1,-2,0.5
3.3300000000000036,4.1000000000000085,310,300,100.0,3,10,100,2,1,-2,0.5
6.190000000000002,7.1000000000000085,426,400,100.0,4,10,100,2,1,-2,0.5
26.352525252525254,50.160000000000004,995,495,99.0,5,10,100,2,1,-2,0.5
30.353012048192777,59.1,1194,498,83.0,6,10,100,2,1,-2,0.5
33.21267605633804,65.1,1393,497,71.0,7,10,100,2,1,-2,0.5
35.30161290322581,68.1,1592,496,62.0,8,10,100,2,1,-2,0.5
36.910101010101016,72.1,1791,495,55.00000000000001,9,10,100,2,1,-2,0.5
38.60000000000001,75.1,1990,500,50.0,10,10,100,2,1,-2,0.5
3.0400000000000036,3.1000000000000085,103,100,100.0,1,10,100,3,1,-2,0.5
3.970000000000003,4.1000000000000085,208,200,100.0,2,10,100,3,1,-2,0.5
5.783333333333337,6.1000000000000085,318,300,100.0,3,10,100,3,1,-2,0.5
10.355,12.100000000000009,446,400,100.0,4,10,100,3,1,-2,0.5
27.1,51.1,995,490,98.0,5,10,100,3,1,-2,0.5
31.002439024390245,59.1,1194,492,82.0,6,10,100,3,1,-2,0.5
33.75714285714286,64.1,1393,490,70.0,7,10,100,3,1,-2,0.5
36.026829268292694,69.1,1592,492,61.5,8,10,100,3,1,-2,0.5
37.836842105263166,73.1,1791,494,54.888888888888886,9,10,100,3,1,-2,0.5
38.855102040816334,75.1,1990,490,49.0,10,10,100,3,1,-2,0.5
4.0000000000000036,4.1000000000000085,104,100,100.0,1,10,100,4,1,-2,0.5
5.810000000000002,6.1000000000000085,212,200,100.0,2,10,100,4,1,-2,0.5
7.840000000000003,9.100000000000009,325,300,100.0,3,10,100,4,1,-2,0.5
14.07,17.10000000000001,466,400,100.0,4,10,100,4,1,-2,0.5
27.852577319587635,51.25999999999997,995,485,97.0,5,10,100,4,1,-2,0.5
31.65555555555557,60.1,1194,486,81.0,6,10,100,4,1,-2,0.5
34.5640657084189,65.1,1393,487,69.57142857142857,7,10,100,4,1,-2,0.5
36.75573770491804,70.1,1592,488,61.0,8,10,100,4,1,-2,0.5
38.256378600823055,72.1,1791,486,54.0,9,10,100,4,1,-2,0.5
39.855102040816334,76.1,1990,490,49.0,10,10,100,4,1,-2,0.5
5.840000000000003,6.1000000000000085,106,100,100.0,1,10,100,5,1,-2,0.5
6.740000000000002,7.1000000000000085,214,200,100.0,2,10,100,5,1,-2,0.5
10.07666666666667,11.100000000000009,333,300,100.0,3,10,100,5,1,-2,0.5
17.335,22.10000000000001,486,400,100.0,4,10,100,5,1,-2,0.5
28.60000000000001,52.1,995,480,96.0,5,10,100,5,1,-2,0.5
32.300000000000004,60.1,1194,480,80.0,6,10,100,5,1,-2,0.5
35.31118012422361,66.1,1393,483,69.0,7,10,100,5,1,-2,0.5
37.20000000000001,69.1,1592,480,60.0,8,10,100,5,1,-2,0.5
39.03995859213252,73.1,1791,483,53.666666666666664,9,10,100,5,1,-2,0.5
40.10000000000001,75.1,1990,480,48.0,10,10,100,5,1,-2,0.5
