avg_t,p99_t,n_requests,n_responses,success_percentage,request_qps,response_qps,max_time,n_server_fails,k_client_amplification,n_retries
0.10000000000000318,0.10000000000000853,100,100,100.0,1,10,100,0,1,4
0.10000000000000318,0.10000000000000853,200,200,100.0,2,10,100,0,1,4
0.10000000000000317,0.10000000000000853,300,300,100.0,3,10,100,0,1,4
0.10000000000000318,0.10000000000000853,400,400,100.0,4,10,100,0,1,4
0.10000000000000318,0.10000000000000853,500,500,100.0,5,10,100,0,1,4
0.10000000000000317,0.10000000000000853,600,600,100.0,6,10,100,0,1,4
0.10000000000000317,0.10000000000000853,700,700,100.0,7,10,100,0,1,4
0.10000000000000318,0.10000000000000853,800,800,100.0,8,10,100,0,1,4
0.10000000000000317,0.10000000000000853,900,900,100.0,9,10,100,0,1,4
0.10000000000000318,0.10000000000000853,1000,1000,100.0,10,10,100,0,1,4
1.0900000000000032,1.1000000000000085,101,100,100.0,1,10,100,1,1,4
1.0900000000000032,1.1000000000000085,202,200,100.0,2,10,100,1,1,4
1.090000000000003,1.1000000000000085,303,300,100.0,3,10,100,1,1,4
1.575000000000003,2.1000000000000085,406,400,100.0,4,10,100,1,1,4
25.6,50.1,995,500,100.0,5,10,100,1,1,4
37.13448275862069,87.10000000000001,2832,232,38.666666666666664,6,10,100,1,1,4
38.59107142857143,87.10000000000001,3352,224,32.0,7,10,100,1,1,4
39.501785714285724,88.10000000000001,3852,224,28.000000000000004,8,10,100,1,1,4
40.308888888888895,90.10000000000001,4350,225,25.0,9,10,100,1,1,4
41.273913043478274,92.10000000000001,4840,230,23.0,10,10,100,1,1,4
3.0200000000000036,3.1000000000000085,103,100,100.0,1,10,100,2,1,4
3.9600000000000026,4.1000000000000085,208,200,100.0,2,10,100,2,1,4
4.8800000000000034,5.1000000000000085,315,300,100.0,3,10,100,2,1,4
37.97272727272729,84.1,1884,220,55.00000000000001,4,10,100,2,1,4
41.23953488372095,88.10000000000001,2410,215,43.0,5,10,100,2,1,4
42.51666666666668,90.10000000000001,2908,216,36.0,6,10,100,2,1,4
42.71751152073734,91.10000000000001,3398,217,31.0,7,10,100,2,1,4
42.62777777777779,91.10000000000001,3892,216,27.0,8,10,100,2,1,4
42.280555555555566,90.10000000000001,4381,216,24.0,9,10,100,2,1,4
42.82727272727274,92.10000000000001,4870,220,22.0,10,10,100,2,1,4
5.810000000000003,6.1000000000000085,106,100,100.0,1,10,100,3,1,4
8.470000000000002,9.100000000000009,218,200,100.0,2,10,100,3,1,4
22.56,29.10000000000001,386,300,100.0,3,10,100,3,1,4
42.206796116504876,86.10000000000001,1942,206,51.5,4,10,100,3,1,4
42.78292682926831,88.10000000000001,2435,205,41.0,5,10,100,3,1,4
44.31904761904763,91.10000000000001,2928,210,35.0,6,10,100,3,1,4
44.10952380952382,91.10000000000001,3417,210,30.0,7,10,100,3,1,4
43.51346153846154,90.10000000000001,3908,208,26.0,8,10,100,3,1,4
45.07685185185186,94.10000000000001,4399,216,24.0,9,10,100,3,1,4
43.2904761904762,90.10000000000001,4890,210,21.0,10,10,100,3,1,4
10.200000000000003,11.100000000000009,111,100,100.0,1,10,100,4,1,4
17.240000000000002,20.10000000000001,240,200,100.0,2,10,100,4,1,4
42.10000000000001,85.10000000000001,1461,201,67.0,3,10,100,4,1,4
43.74000000000001,87.11,1958,200,50.0,4,10,100,4,1,4
44.35000000000001,89.10000000000001,2450,200,40.0,5,10,100,4,1,4
45.041176470588255,91.10000000000001,2940,204,34.0,6,10,100,4,1,4
44.71083743842366,91.10000000000001,3430,203,28.999999999999996,7,10,100,4,1,4
45.50384615384616,92.10000000000001,3920,208,26.0,8,10,100,4,1,4
44.91642512077297,92.10000000000001,4410,207,23.0,9,10,100,4,1,4
45.1952380952381,92.10000000000001,4900,210,21.0,10,10,100,4,1,4
15.059999999999995,17.10000000000001,117,100,100.0,1,10,100,5,1,4
31.85000000000001,46.1,292,200,100.0,2,10,100,5,1,4
43.61515151515153,85.10000000000001,1470,198,66.0,3,10,100,5,1,4
44.81000000000001,89.10000000000001,1960,200,50.0,4,10,100,5,1,4
45.35000000000001,90.10000000000001,2450,200,40.0,5,10,100,5,1,4
46.041176470588255,92.10000000000001,2940,204,34.0,6,10,100,5,1,4
45.71083743842366,92.10000000000001,3430,203,28.999999999999996,7,10,100,5,1,4
46.50384615384616,93.10000000000001,3920,208,26.0,8,10,100,5,1,4
45.91642512077297,93.10000000000001,4410,207,23.0,9,10,100,5,1,4
46.1952380952381,93.10000000000001,4900,210,21.0,10,10,100,5,1,4
